"The ""is_qty_decimal"" field must be set to 0 or 1.","""is_qty_decimal"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","""Is_qty_decimal"" பீல்டில் 0, 1, அல்லது 2 அமைக்கப்பட வேண்டும்."
"The ""manage_stock"" field must be set to 0 or 1.","""manage_stock"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","""stock_status_changed_auto"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_backorders"" field must be set to 0 or 1.","""Use_config_backorders"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","""use_config_enable_qty_inc"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","""use_config_manage_stock"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","""use_config_max_sale_qty"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_min_qty"" field must be set to 0 or 1.","""use_config_min_qty"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","""use_config_min_sale_qty"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","""use_config_notify_stock_qty"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","""use_config_qty_increments"" பீல்டில் 0 அல்லது 1 அமைக்கப்பட வேண்டும்."
"The attribute rules were saved.","பண்புவிதிகள் சேமிக்கப்பட்டன "
"The role has been saved.","செயல்பங்கு சேமிக்கப்பட்டது"
"The role is a special one and not for assigning it to admin users.","இந்த செயல்பங்கு தனித்தன்மையானது, நிர்வாகிகளுக்கு ஒதுக்கப்பட அல்ல. "
"Total Due","மொத்தம் கொடுக்கவேண்டியது "
"Total Paid","மொத்தம் கொடுத்தது "
"Total Refunded","திருப்பியளிக்கப்பட்ட மொத்தம் "
"Total Reviews Count","மொத்த மதிப்பாய்வுகளின் எண்ணிக்கை "
"Type","வகை "
"URL","யு  ஆர்  எல் "
"Update","இற்றைப்படுத்து"
"Use Config Settings for Allow Gift Message","கட்டமைப்பு அமைப்புகள்  மூலம் பரிசு செய்திக்கு  அனுமதிக்கவும்"
"Use Config Settings for Allow Gift Wrapping","கட்டமைப்பு அமைப்புகள்  மூலம் பரிசு சுற்றிகட்டுவதற்குஅனுமதிக்கவும்"
"Use Config Settings for Backorders","கட்டமைப்பு அமைப்புகள்  மூலம் பின் தேதியிட்ட ஆர்டர்களுக்கு அனுமதிக்கவும்"
"Use Config Settings for Enable Qty Increments","கட்டமைப்பு அமைப்புகள்  மூலம் அளவினை அதிகரிப்பதற்கு அனுமதி "
"Use Config Settings for Manage Stock","கட்டமைப்பு அமைப்புகள் மூலம் ஸ்டாக் மேலாண்மை செய்ய அனுமதிக்கவும்"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","கட்டமைப்பு அமைப்புகளை வணிக வண்டியில் அனுமதிக்கப்பட்ட அதிகபட்ச அளவு மாற்ற  பயன்படுத்தவும் "
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","கட்டமைப்பு அமைப்புகளை  வணிக வண்டியில் அனுமதிக்கப்பட்ட குறைந்தபட்ச அளவு மாற்ற  பயன்படுத்தவும் "
"Use Config Settings for Notify for Quantity Below","இந்த அளவிற்கு கிழே வரும் பொழுது தெரிவிக்கவும் என்ற நிலை   மாற்ற கட்டமைப்பு அமைப்புகளை  பயன்படுத்தவும் "
"Use Config Settings for Qty Increments","கட்டமைப்பு அமைப்புகள்  மூலம் பரிசு செய்திக்கு  அனுமதிக்கவும்  மாற்ற கட்டமைப்பு அமைப்புகளை  பயன்படுத்தவும் "
"Use Config Settings for Qty for Item's Status to Become Out of Stock","""பொருள் இன்னும் அளவு இருப்பு இல்லை"" என்ற நிலை  ஆவதற்க்கான அளவினை மாற்ற கட்டமைப்பு அமைப்புகளை  பயன்படுத்தவும் "
"User Type","பயனர் வகை"
"User type ""%s"" no longer exists","பயனர் வகை ""% s"" இல்லை"
"User type ""%s"" not found.","பயனர் வகை ""% s"" காணப்படவில்லை."
"Web Services","இணைய சேவைகள்"
"Web services","இணைய சேவைகள்"
"Write","எழுது"
"ZIP/Postal Code","அஞ்சல் எண்"
